url, error
https://www.wintec.ac.nz/study-at-wintec/secondary-schools/overview/waikato-trades-academy-programmes/café-skills-(level-2), 'ascii' codec can't encode character '\xe9' in position 85: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/māori/hear-from-our-graduates/wendy-crawford, 'ascii' codec can't encode character '\u0101' in position 19: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/māori/hear-from-our-graduates/murphy-firia-zama, 'ascii' codec can't encode character '\u0101' in position 19: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/māori/hear-from-our-graduates/ellyn-proffit, 'ascii' codec can't encode character '\u0101' in position 19: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/māori/hear-from-our-graduates/ramari-kauluwehi, 'ascii' codec can't encode character '\u0101' in position 19: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/māori/hear-from-our-graduates/marrin-haggie, 'ascii' codec can't encode character '\u0101' in position 19: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/māori/hear-from-our-graduates, 'ascii' codec can't encode character '\u0101' in position 19: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/māori/maori-and-pasifika-trade-training, 'ascii' codec can't encode character '\u0101' in position 19: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/māori/community-links, 'ascii' codec can't encode character '\u0101' in position 19: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/māori/scholarships, 'ascii' codec can't encode character '\u0101' in position 19: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/māori/wintec-marae/marae-carvings, 'ascii' codec can't encode character '\u0101' in position 19: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/māori/wintec-marae/marae-wharekai, 'ascii' codec can't encode character '\u0101' in position 19: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/māori/wintec-marae/marae-wharenui, 'ascii' codec can't encode character '\u0101' in position 19: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/māori/wintec-marae, 'ascii' codec can't encode character '\u0101' in position 19: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/māori, 'ascii' codec can't encode character '\u0101' in position 19: ordinal not in range(128)
https://www.wintec.ac.nz/student-resources/support-services/āniwaniwa-alliance, 'ascii' codec can't encode character '\u0101' in position 40: ordinal not in range(128)
https://www.wintec.ac.nz/about-wintec/news/11, The read operation timed out
https://www.fyi.org.nz/request/27553-overseas-travel#incoming-108108, Invalid IPv6 URL
https://www.wintec.ac.nz#video, The read operation timed out
https://www.wintec.ac.nz/study-at-wintec/courses/art-and-design/bachelor-of-contemporary-art, The read operation timed out
https://tepūkenga.ac.nz/privacy-notice/, 'latin-1' codec can't encode character '\u016b' in position 3: ordinal not in range(256)
