url, time, page_size, depth, page_status
https://www.penguin.co.nz, 02:35:42 09/27/2024, 343861, 0, 200
https://www.dalusionfwx.co.nz, 02:35:45 09/27/2024, None, 0, 404
https://www.4es.nz, 02:35:48 09/27/2024, 52908, 0, 200
https://www.stjohn.org.nz, 02:35:50 09/27/2024, 83632, 0, 200
https://www.pontconsultants.co.nz, 02:35:52 09/27/2024, None, 0, 404
https://www.sorted.org.nz, 02:35:56 09/27/2024, None, 0, 404
https://www.maoriplus.co.nz, 02:35:56 09/27/2024, 7749, 0, 200
https://www.nzme.co.nz, 02:35:57 09/27/2024, None, 0, 403
https://www.lorde.co.nz, 02:35:57 09/27/2024, 41724, 0, 200
https://www.spinbits.nz, 02:35:57 09/27/2024, None, 0, 403
https://www.tubidy.ac.nz, 02:35:57 09/27/2024, None, 0, 403
https://www.fireprotection.org.nz, 02:35:59 09/27/2024, 31577, 0, 200
https://www.heritage.org.nz, 02:35:59 09/27/2024, 44085, 0, 200
https://www.theharbour.org.nz, 02:36:03 09/27/2024, 17552, 0, 200
https://www.pcworld.co.nz, 02:36:04 09/27/2024, None, 0, 410
https://www.interislander.co.nz, 02:36:05 09/27/2024, 49362, 0, 200
https://www.pokiesonlinenz.co.nz, 02:36:05 09/27/2024, None, 0, 403
https://www.hamiltongardens.co.nz, 02:36:11 09/27/2024, 141672, 0, 200
https://www.matakanacoast.co.nz, 02:36:12 09/27/2024, 255161, 0, 200
https://www.fishingguides.co.nz, 02:36:14 09/27/2024, None, 0, 404
https://pardot.stjohn.org.nz/l/182252/2020-08-13/3jrybk/182252/205624/OG_10_Vulnerable_Children_Young_Persons_and_Adults_Protection_Policy_FINAL_COPY.pdf, 02:36:15 09/27/2024, 1014, 1, 200
https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=00a5c635-850a-dd11-99cd-0015c5f3da29&searchId=008be49f-d9ae-4f54-961c-9319564fe78f, 02:36:17 09/27/2024, None, 1, 403
https://youth.stjohn.org.nz, 02:36:19 09/27/2024, None, 1, 404
https://prime.stjohn.org.nz, 02:36:23 09/27/2024, None, 1, 404
https://www.misfitstrategy.co.nz/, 02:36:24 09/27/2024, 130585, 1, 200
https://buy.stjohn.org.nz/firstaid/first-aid-courses/, 02:36:25 09/27/2024, None, 1, 403
https://donate.stjohn.org.nz/?utm_source=website&utm_medium=homepage&utm_campaign=alwayson, 02:36:26 09/27/2024, 539215, 1, 200
