url, time, page_size, depth, page_status
https://www.fyi.org.nz/body/ministry_of_health, 01:15:08 09/27/2024, 35842, 1, 200
https://www.anz.co.nz/banking-with-anz/ways-to-pay/, 01:15:10 09/27/2024, 320655, 1, 200
https://www.anz.co.nz/rates-fees-agreements/general-terms-conditions/, 01:15:12 09/27/2024, 308276, 1, 200
https://www.prowzer.co.nz/terms.html, 01:15:15 09/27/2024, 77378, 1, 200
https://www.uniline.co.nz/Product/Section/31/UNIGLIDE-External-Motorisation, 01:15:20 09/27/2024, 32227, 1, 200
https://www.anz.co.nz/banking-with-anz/ways-to-bank/, 01:15:22 09/27/2024, 321323, 1, 200
https://www.fyi.org.nz/help/about, 01:15:27 09/27/2024, 18106, 1, 200
https://www.uniline.co.nz/Product/Section/35/PROTECTA-Awnings, 01:15:30 09/27/2024, 34520, 1, 200
https://www.fyi.org.nz/body/list/all, 01:15:37 09/27/2024, 51625, 1, 200
https://www.fyi.org.nz/list/successful, 01:15:43 09/27/2024, 32491, 1, 200
https://www.queenstownnz.co.nz/stories/post/how-queenstown-is-changing-tourism-for-good/, 01:15:44 09/27/2024, 232750, 1, 200
https://www.queenstownnz.co.nz/stories/post/peregrine-wines-land-birds-and-pinot/, 01:15:44 09/27/2024, 220055, 1, 200
https://www.uniline.co.nz/Product/Detail/9/Roman-Blinds/1, 01:15:47 09/27/2024, 46712, 1, 200
https://www.fyi.org.nz/select_authority, 01:15:52 09/27/2024, 7489, 1, 200
https://www.queenstownnz.co.nz/stories/post/shining-the-light-on-the-luma-light-festival/, 01:15:53 09/27/2024, 216625, 1, 200
https://www.queenstownnz.co.nz/stories/post/mana-tahuna-from-a-small-seed-of-hope-to-a-flourishing-future/, 01:15:53 09/27/2024, 215266, 1, 200
https://www.fyi.org.nz/profile/sign_in?r=%2F, 01:15:59 09/27/2024, 9406, 1, 200
https://www.queenstownnz.co.nz/stories/post/three-ways-visitors-are-giving-back-to-queenstown/, 01:15:59 09/27/2024, 224397, 1, 200
https://www.queenstownnz.co.nz/stories/post/appellation-wine-tours-going-further-exploring-more-emissions-free/, 01:16:00 09/27/2024, 215436, 1, 200
https://www.anz.co.nz/banking-with-anz/join-anz/, 01:16:01 09/27/2024, 349783, 1, 200
https://www.uniline.co.nz/Product/Detail/6/SLIMLINE-Venetian-blinds/1, 01:16:04 09/27/2024, 52339, 1, 200
https://www.queenstownnz.co.nz/stories/post/kinloch-wilderness-retreat-retreat-in-nature-and-discover-your-nature-within/, 01:16:05 09/27/2024, 220724, 1, 200
https://www.fyi.org.nz#banner, 01:16:11 09/27/2024, 15905, 1, 200
https://www.fyi.org.nz/, 01:16:17 09/27/2024, 15905, 1, 200
https://www.queenstownnz.co.nz/event/the-motatapu/1862/, 01:16:18 09/27/2024, 239867, 1, 200
https://www.queenstownnz.co.nz/www.greenstoneentertainment.co.nz, 01:16:18 09/27/2024, 316335, 1, 200
https://www.anz.co.nz/personal/private-bank/, 01:16:19 09/27/2024, 401444, 1, 200
https://www.fyi.org.nz#top, 01:16:25 09/27/2024, 15905, 1, 200
https://www.queenstownnz.co.nz/event/gibbston-valley-winery-summer-concert-queenstown/2425/, 01:16:26 09/27/2024, 232016, 1, 200
https://www.anz.co.nz/comms/calculators-and-tools/, 01:16:28 09/27/2024, 280426, 1, 200
https://www.anz.co.nz/banking-with-anz/, 01:16:28 09/27/2024, 318221, 1, 200
https://www.healthpoint.co.nz/healthpoint-privacy-policy/, 01:16:30 09/27/2024, 26258, 1, 200
https://www.uniline.co.nz/Product/Section/30/UNIGLIDE-Internal-Motorisation, 01:16:34 09/27/2024, 32876, 1, 200
https://www.healthpoint.co.nz/website-terms-and-conditions/, 01:16:35 09/27/2024, 26792, 1, 200
https://www.queenstownnz.co.nz/event/new-zealand-sothebys-international-realty-queenstown-marathon-presented-by-asics/2230/, 01:16:36 09/27/2024, 220123, 1, 200
https://www.queenstownnz.co.nz/plan/seasons-and-weather/summer-in-queenstown/, 01:16:36 09/27/2024, 216679, 1, 200
https://www.queenstownnz.co.nz/plan/seasons-and-weather/spring-in-queenstown/, 01:16:37 09/27/2024, 218989, 1, 200
https://www.queenstownnz.co.nz/plan/seasons-and-weather/winter-in-queenstown/, 01:16:38 09/27/2024, 230235, 1, 200
https://www.uniline.co.nz/Product/Section/32/SOLA-Roller-Blind-Systems, 01:16:40 09/27/2024, 31438, 1, 200
https://www.uniline.co.nz/Document/Detail/33/CSS-Configurator, 01:16:43 09/27/2024, 33306, 1, 200
https://www.mpages.co.nz/plugin.php?id=xlwsq_es, 01:16:45 09/27/2024, 2796, 1, 200
https://www.queenstownnz.co.nz/plan/seasons-and-weather/autumn-in-queenstown/, 01:16:46 09/27/2024, 221768, 1, 200
https://www.queenstownnz.co.nz/queenstowns-regenerative-journey/, 01:16:46 09/27/2024, 292317, 1, 200
https://www.healthpoint.co.nz/eye-care/, 01:16:48 09/27/2024, 49460, 1, 200
